Task name,Assignee,Completed on,Due,Parent-task,Priority,Project,Status,Sub-tasks,Tags
Lab 1,Alex,,"January 20, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Assignment 1,Alex,,"January 23, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 2 & 3,Alex,,"January 28, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
"Lab 4 ",Alex,,"February 4, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 5,Alex,,"February 11, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Project Proposal,Alex,,"February 11, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 6,Alex,,"February 25, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 7,Alex,,"March 4, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 8,Alex,,"March 11, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 9,Alex,,"March 18, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 10,Alex,,"March 25, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Lab 11,Alex,,"April 1, 2026",,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Task,,,,,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),In Progress,,
wiki,,,,,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),In Progress,,
Obsidian Notes,Alex,,,,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Not Started,,
Graduation Request Email,Alex,,,,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),In Progress,,
Tasks for class,Alex,,,,,Finish School (Finish%20School%202e97c51f810e8097baeafd2726873b53.md),Done,,