Name,Bought,Status
Broom,Yes,Home Depot
Sugar,Yes,Grocery Store
Salt,Yes,Grocery Store
flour,Yes,Grocery Store
olive oil,Yes,Grocery Store
"pizza yeast ",Yes,Grocery Store
Beef with Bone,Yes,Grocery Store
Onions,Yes,Grocery Store
Ginger,Yes,Grocery Store
"clives, atar anise, black cardamom, coriander",Yes,Grocery Store
Cinnamon stick,Yes,Grocery Store
Fish Sauch,Yes,Grocery Store
cilantro,Yes,Grocery Store
noodles,Yes,Grocery Store
beef for toppings,Yes,Grocery Store
thai chilies,Yes,Grocery Store
basil / mint,Yes,Grocery Store
Rice,Yes,Grocery Store
Black Pepper,Yes,Grocery Store
Green peppers,Yes,Grocery Store
"Gochujang ",No,Grocery Store
Milk,Yes,Grocery Store
Instant Ramen,Yes,Grocery Store
Coffee,Yes,Grocery Store
Meat - freeze,Yes,Grocery Store
,Yes,Grocery Store