_,Name,Start Date,Due Date,Assignee,Project,Subs
Yes,Get Skis??,"January 6, 2022",,,,
Yes,create reading list NOTION,"January 10, 2022",,,,
Yes,Start figuring out what to do for self-dev,"January 10, 2022",,,,
Yes,Look at NSERC emails,"January 10, 2022",,,,
Yes,Look into UPSWING poker and set a 30 day moneyback thing,"January 11, 2022",,,,
Yes,Msg Sky about shoes,"January 12, 2022",,,,
Yes,Call no frills about stock levels,"January 12, 2022",,,,
Yes,Go and make notes for this week & plan out notes for next week,"January 12, 2022",,,,
Yes,"213: 1, 2.1-2.3, 2.4.1-2.4.3","January 17, 2022",,,,
Yes,WRDS150: Reading 1 reflection,"January 18, 2022","January 19, 2022",,,
Yes,WRDS150: Reading response to article 1 → review answer and throw in the wikipedia link / citation,"January 18, 2022","January 19, 2022",,,
Yes,Create the disc server and come up with a “feature” list,"January 23, 2022",,,,
Yes,book rooms for the upcoming week and make the post on AC,"January 23, 2022",,,,
Yes,Make an order form for doing the event page orders to the medial chair,"January 23, 2022",,,,
Yes,306 Lectures from Jan 20,"January 24, 2022",,,,
Yes,303 Lectures from Jan 28 + pre lecture notes from #9,"January 24, 2022",,,,
Yes,Go through article 2 for 150 - & write out answer for q3,"January 25, 2022",,,,
Yes,"213 Labs 1 2 ","January 25, 2022",,,,
Yes,Call grandparents,"January 25, 2022",,,,
Yes,Update resume,"January 25, 2022",,,,
Yes,306 lab,"January 26, 2022","January 28, 2022",,,
Yes,MATH303: HW2,"January 26, 2022","January 28, 2022",,,
Yes,New business - discord for organizing instead of 70 different FB groups,"January 26, 2022",,,,
Yes,"Go buy groceries ","January 26, 2022",,,,
Yes,write out answer 3 to the on article 2,"January 28, 2022",,,,
Yes,Go over 213 1c readings,"January 31, 2022",,,,
Yes,"Get lit comp dates & what not sorted ","February 1, 2022",,,,
Yes,amine tickets,"February 2, 2022",,,,
Yes,Vacuum room & take down trash,"February 2, 2022",,,,
Yes,Make post about lit competition,"February 3, 2022",,,,
Yes,303 Lecture 2nd & video 11,"February 3, 2022",,,,
Yes,150 Article 3 Summary - editing,"February 8, 2022","February 8, 2022",,,
Yes,213 Quiz 2 - REDO,"February 8, 2022","February 8, 2022",,,
Yes,CPSC213: ASGN3,"February 8, 2022","February 8, 2022",,,
Yes,Group project 4,"February 12, 2022","February 13, 2022",,,
Yes,306 PC: Estimator Properties onwards,"February 13, 2022",,,,
Yes,303 Lecture Recordings 9th,"February 14, 2022",,,,
Yes,Msg entrepreneur course ppl,"February 14, 2022",,,,
Yes,"2131d reading ","February 15, 2022",,,,
Yes,Study for 213 Quiz,"February 15, 2022",,,,
Yes,Book eye appointment,"February 15, 2022",,,,
Yes,"Get Toma & Batts to sign me in and correct Logan's thing at meeting ","February 16, 2022",,,,
Yes,Figure out 150 research project - look again for sources / maybe hop on something else,"February 16, 2022",,,,
Yes,Email wrds 150 prof for confirmation of RQ,"February 21, 2022",,,,
Yes,Go over 213 material Monday to prep for assignment on Tuesday,"February 21, 2022",,,,
Yes,Set up lockdown app & ideal sleep schedule,"February 24, 2022",,,,
Yes,Pay res fees,"February 25, 2022",,,,
Yes,Email housing people begging for extension,"February 27, 2022",,,,
Yes,Study for the stats exam on Sunday,"February 27, 2022",,,,
Yes,213 Slides for e,"February 27, 2022",,,,
Yes,"Go over 213 labs & answers ","February 28, 2022",,,,
Yes,"Go over 303 Midterm ","February 28, 2022",,,,
Yes,"Review coop application ","March 2, 2022",,,,
Yes,Get covid test kits,"March 2, 2022",,,,
Yes,look into these stacks again,"March 3, 2022",,,,
Yes,"Start the next 213 assignment ","March 7, 2022",,,,
Yes,Move all notes and what not to google drive,"March 9, 2022",,,,
Yes,Send mum quest trade T4 and UBC T4 for taxes,"March 10, 2022",,,,
Yes,Review resume before sending it out to Ted,"March 10, 2022",,,,
Yes,"Put Monday's 303 notes into notes via Google drive ","March 10, 2022",,,,
Yes,get ted to review my resume,"March 10, 2022",,,,
Yes,Create Study Plan,"March 14, 2022",,,,
Yes,post housing offer in Gal Chat,"March 15, 2022",,,,
Yes,303 Go over starred ch5 problems and solutions,"March 16, 2022",,,,
Yes,303 - Review Chapter 5.3.3 and onwards & start of 6,"March 16, 2022",,,,
Yes,303 Solutions to practice midterm,"March 17, 2022",,,,
Yes,303: Questions for office hours on Friday?,"March 17, 2022",,,,
Yes,fix phone lock to only be on when I am at / around exchange,"March 18, 2022",,,,
Yes,150 Go over people’s presentations,"March 21, 2022",,,,
Yes,Review 2a for 213,"March 21, 2022",,,,
Yes,213 2b read over notes,"March 21, 2022",,,,
Yes,150 Article 6,"March 21, 2022",,,,
Yes,PLAN OUT STUDYING,"March 22, 2022",,,,
Yes,306 Review Transformations & Interactions pencasts,"March 25, 2022",,,,
Yes,"Book plane tickets ","March 26, 2022",,,,
Yes,150 - hack together an outline & some citation,"March 26, 2022",,,,
Yes,look at final paper requirements,"March 26, 2022",,,,
Yes,Find a few more sources (look through gathered ones),"March 26, 2022",,,,
Yes,Go and create a concrete study plan for each course & final,"March 26, 2022",,,,
Yes,"306 review last week's class notes & assignments ","March 28, 2022",,,,
Yes,213 Review → notes for first sections,"March 28, 2022",,,,
Yes,Write in additional stuff for 306,"April 6, 2022",,,,
Yes,Msg jsb about Addy,"April 7, 2022",,,,
Yes,Msg Omar about lunch,"April 7, 2022",,,,
Yes,150 Read potential new sources,"April 10, 2022",,,,
Yes,Buy Shopify,"April 11, 2022",,,,
Yes,Invest in crypto,"April 11, 2022",,,,
Yes,Begin planning summer >:),"April 14, 2022",,,,
Yes,"Text Tiff list of things to prep for acid - music glasses, a place to go for food in mind, places on campus","April 14, 2022",,,,
Yes,Check on minors and cs app,"April 14, 2022",,,,
Yes,303 Catch up on notes: ch6,"April 17, 2022",,,,
Yes,303: go over exam solutions (both sections for both midterms),"April 19, 2022",,,,
Yes,"Go & do MT2 for 303 ","April 19, 2022",,,,
Yes,"303: go over HW 6 7 8 9 ","April 19, 2022",,,,
Yes,"306 Continue getting formula from lecture 19 ","April 19, 2022",,,,
Yes,Apply to CS,"April 19, 2022",,,,
Yes,303: do practice finals,"April 20, 2022",,,,
Yes,"303: go over HW and find what mistakes I made ","April 20, 2022",,,,
Yes,303: Get a formula sheet,"April 20, 2022",,,,
Yes,Figure day for fire next week & create GC,"April 20, 2022",,,,
Yes,303: do practice midterm 2,"April 20, 2022",,,,
Yes,306: create formula sheet,"April 21, 2022",,,,
Yes,306: go over PCA in Lec 20 to make sure we understand it,"April 21, 2022",,,,
Yes,"213: go over all lecture notes again & review ","April 21, 2022",,,,
Yes,"306 practice final ","April 21, 2022",,,,
Yes,Look at variance stabilizing transformations from lecture 16 again 306,"April 21, 2022",,,,
Yes,Re go over 306 lecture 15 train/test method - unsure of some of the words in the slides probably not super important,"April 21, 2022",,,,
Yes,306 Midterm review,"April 21, 2022",,,,
Yes,Plan out poker studying / traveling / budget,"April 23, 2022",,,,
Yes,Buy calendar party tickets,"April 25, 2022",,,,
Yes,"Call student advising about forms for combined majors ","April 25, 2022",,,,
Yes,"Budget catch up ","May 2, 2022",,,,
Yes,message AD Tor and Mem,"May 10, 2022",,,,
Yes,Apply to COMM minor before May 15th,"May 10, 2022",,,,
Yes,Plan the traveling for summer: Toronto Mtl,"May 18, 2022",,,,
Yes,pay res fees,"May 23, 2022",,,,
Yes,Find place to go w/ Max,"May 23, 2022",,,,
Yes,Review 6 handed poker (ranges),"May 24, 2022",,,,
Yes,"book travels: Toronto to Van, Van to Ottawa","May 26, 2022",,,,
Yes,look into fixing battery in laptop,"May 26, 2022",,,,
Yes,Look at booking G2 test,"May 26, 2022",,,,
Yes,Look into how liquidity pools work,"May 28, 2022",,,,
Yes,"Book a G2 test if it makes sense ","May 29, 2022",,,,
Yes,look at transferring to BC licence,"May 29, 2022",,,,
Yes,Read over stats assignment requirement,"May 31, 2022",,,,
Yes,"Look through all the investor material I was sent ","June 1, 2022",,,,
Yes,study hands and 3 bet oportunities: wait for 5k hands,"June 6, 2022",,,,
Yes,go through compound docs,"June 8, 2022",,,,
Yes,"Order lifting straps ","June 9, 2022",,,,
Yes,Theorize parameters for simulation & numbers to research for industry on train,"June 13, 2022",,,,
Yes,"Check over news letters and presentations, I should make them.","June 14, 2022",,,,
Yes,Go over courses for the fall,"June 15, 2022",,,,
Yes,DSP,"June 15, 2022",,,,
Yes,"See what’s up with next stats exam. ","June 15, 2022",,,,
Yes,"If he hasn’t messaged back, get back in contact w/ Toronto AD to see about possibility of crashing at theirs for the weekend","June 16, 2022",,,,
Yes,Apply to fall 2022 rbc program to see what it’s like → take notes for the next one,"June 16, 2022",,,,
Yes,Get down on investments,"June 16, 2022",,,,
Yes,q3 scholarship: get questions,"June 22, 2022",,,,
Yes,"UZ: pitch slides ","June 22, 2022",,,,
Yes,Put 210 project on github,"June 24, 2022",,,,
Yes,Make amazon order,"June 28, 2022",,,,
Yes,"High fidelity ear plugs ","June 28, 2022",,,,
Yes,"Review Course Availability ","June 29, 2022",,,,
Yes,Uber price data collection,"July 1, 2022",,,,
Yes,"Deep clean room ","July 5, 2022",,,,
Yes,"Text adma and George about housing ","July 5, 2022",,,,
Yes,Go over assignments 3 4 5 & practice exam,"July 10, 2022",,,,
Yes,"Begin looking into uber expense reports ","July 18, 2022",,,,
Yes,Try to change poker address again,"July 26, 2022",,,,
Yes,loook at cpsc 304 320,"July 27, 2022",,,,
Yes,"Gym dance/flow playlist ","August 15, 2022",,,,
Yes,Plan out timeline and goals for sep-apr to present to the boys,"August 16, 2022",,,,
Yes,Canada Trudeau pledge money for public cam,"August 17, 2022",,,,
Yes,ticket links,"August 18, 2022",,,,
Yes,"Serving it right licence ","August 20, 2022",,,,
Yes,Packing list,"August 21, 2022","August 23, 2022",,,
Yes,Revise Resume and Write a Cover letter,"August 21, 2022",,,,
Yes,Book Mock Interview,"August 22, 2022",,,,
Yes,Post tropics thing w/ link on insta story,"August 23, 2022",,,,
Yes,Room,"August 26, 2022",,,,
Yes,Online training for Browns,"August 30, 2022",,,,
Yes,See if fitness passes are available for purchase,"August 31, 2022",,,,
Yes,MATH344,"September 1, 2022","December 16, 2022",,,
Yes,STAT201,"September 1, 2022","December 17, 2022",,,
Yes,COMR473,"September 1, 2022","December 19, 2022",,,
Yes,COMR457,"September 1, 2022","December 20, 2022",,,
Yes,COMR329,"September 1, 2022","December 21, 2022",,,
Yes,Fill out browns paperwork and print out,"September 3, 2022",,,,
Yes,"Pay res-fees, September rent and Tuition","September 3, 2022",,,,
Yes,Events around BC,"September 4, 2022",,,,
Yes,"Begin interview training plan: leetcode, projects etc","September 4, 2022",,,,
Yes,"Youtube Channel ","September 4, 2022",,,,
Yes,Generate Wealth and Value,"September 4, 2022",,,,
Yes,Heat register/vent adjustment or cut heat register into duct,"September 4, 2022",,,,
Yes,"Register for ubc kickboxing ","September 14, 2022 5:00 PM (PDT)",,,,
Yes,"register for ubc Muay Thai free week ","September 14, 2022 6:00 PM (PDT)",,,,
Yes,"Sort out textbook ","September 18, 2022",,,,
Yes,Check Xanadu residency,"November 7, 2022",,,,
Yes,Look at IXperience to see if it’s open,"November 24, 2022",,,,
Yes,Go to bank and sort it out,"November 28, 2022",,,,
Yes,"Write out all steps to basic stats analysis ","December 1, 2022",,,,
Yes,AirOps,"January 3, 2023",,,,
Yes,Chuzu,"January 8, 2023",,,,
Yes,"Do event breakdown of budget ","January 26, 2023",,,,
Yes,"Sort out payments to everyone: gary, nikolai, nick","February 1, 2023",,,,
Yes,Move all files to TOMA’s drive,"February 4, 2023",,,,
Yes,ADP Treasurer,"February 15, 2023",,,,
Yes,Poker Learning,"April 6, 2023",,,,
Yes,Change up resume,"April 7, 2023",,,,
Yes,Refine pitch slides,"April 7, 2023",,,,
Yes,draft up onboarding documents,"April 7, 2023",,,,
Yes,"Draft up preliminary legal documents: NDA, employee contracts","April 7, 2023",,,,
Yes,Graph % cut-off by position,"April 7, 2023",,,,
Yes,Become familiar with upswing poker ranges,"April 7, 2023",,,,
Yes,Send out messages today,"April 9, 2023",,,,
Yes,Schedule meeting with bank,"April 9, 2023",,,,
Yes,Email Scott,"April 9, 2023",,,,
Yes,Take 1h to actually plan out what I want to push for with this company → I wll have to be the one to get this project on track & actually happening,"April 9, 2023",,,,
Yes,Ask around old exec members about databases of alumni,"April 9, 2023",,,,
Yes,Send dad the recipts from meds,"April 10, 2023",,,,
Yes,Schedule another clarification meeting with them,"April 10, 2023",,,,
Yes,Begin filling out registration documents,"April 10, 2023",,,,
Yes,"Check in on name request form ","April 10, 2023",,,,
Yes,Send out reimbursements,"April 10, 2023",,,,
Yes,Double check the booking tab in EDGE,"April 11, 2023",,,,
Yes,Lulu applications on indeed due tonight,"April 11, 2023",,,,
Yes,prepare agm meeting slides,"April 11, 2023",,,,
Yes,Investigate pricing of “OurHouse” for frat,"April 12, 2023",,,,
Yes,Text OurHouse People back,"April 16, 2023",,,,
Yes,Think about questions for Gal interview,"April 16, 2023",,,,
Yes,Go over CZ tasks,"April 16, 2023",,,,
Yes,Reformat CZ Agreements to be specific to us,"April 16, 2023",,,,
Yes,Do stock breakdown and comunity transfer plan (inc in registration docs),"April 16, 2023",,,,
Yes,Find competitions that are in industry and run throughout year - also contact NIBC dude from the Gal,"April 16, 2023",,,,
Yes,Take $ out of QT,"April 17, 2023",,,,
Yes,Give $ to Ahmed,"April 18, 2023",,,,
Yes,Combine all data projects into one repository,"April 18, 2023",,,,
Yes,Write up # of shares & begin filling out application details,"April 18, 2023",,,,
Yes,Prepare for meeting with Scott,"April 18, 2023",,,,
Yes,Email Scott to be a referference,"April 18, 2023",,,,
Yes,Begin reaching out to potential investors,"April 18, 2023",,,,
Yes,Chuzu registration docs filled out,"April 18, 2023",,,,
Yes,Develop better financial model Get better numbers for insurance and payment fees,"April 18, 2023",,,,
Yes,Set up pinger in my room again,"April 18, 2023",,,,
Yes,Apply to summer positions,"April 19, 2023",,,,
Yes,etf mo $65,"April 20, 2023",,,,
Yes,"Grant + funding database ","April 20, 2023",,,,
Yes,Scope out ADP,"April 21, 2023",,,,
Yes,,"April 25, 2023",,,,
Yes,Scope Out Taxes - log into all accounts & see what needs to be done,"April 25, 2023",,,,
Yes,Write out agenda for ADnp,"April 26, 2023",,,,
Yes,Consolodate data,"April 26, 2023",,,,
Yes,"School forms ","April 26, 2023",,,,
Yes,Questrade Forms,"April 26, 2023",,,,
Yes,Review all of Journal & write about it for 2h,"April 29, 2023",,,,
Yes,"Create messaging system ","May 1, 2023",,,,
Yes,Register for CRA direct deposit,"May 1, 2023",,,,
Yes,Do first fill out of legal documents,"May 1, 2023",,,,
Yes,Taxes - file,"May 1, 2023",,,,
Yes,Finalize legal docs,"May 1, 2023",,,,
Yes,Send out messages + plan summer payment plan on Airtable,"May 1, 2023",,,,
Yes,Reconcile treasury (Find exactly how much I owe),"May 1, 2023",,,,
Yes,Finish application,"May 1, 2023",,,,
Yes,Send out agreement to them tonight,"May 2, 2023",,,,
Yes,Finalize Shares,"May 2, 2023",,,,
Yes,Begin Messaging people for security,"May 2, 2023",,,,
Yes,"Review funding sources & begin writing out requirements ","May 2, 2023",,,,
Yes,Go through BC small business checklist and create a todo list,"May 2, 2023",,,,
Yes,Apply to ADP scholar ship → fill in some nonsense,"May 3, 2023",,,,
Yes,"Have dego and Ahnaf sign the agreement ","May 3, 2023",,,,
Yes,Schedule All Meetings leading into the party,"May 3, 2023",,,,
Yes,Message people and begin adding them to a group chat,"May 3, 2023",,,,
Yes,Get list of question’s for Tommy,"May 4, 2023",,,,
Yes,"Create Jobs List and Tasks ","May 4, 2023",,,,
Yes,"Kaggle Comp - https://www.kaggle.com/competitions/benetech-making-graphs-accessible/data ","May 4, 2023",,,,
Yes,TEST IFTTT,"May 6, 2023",,,,
Yes,Add in other sections to incorporating agreement,"May 6, 2023",,,,
Yes,Go over all meeting notes with the boys,"May 8, 2023",,,,
Yes,Have contacted everyone for first party,"May 8, 2023",,,,
Yes,Confirm “employee contract” with everyone,"May 8, 2023",,,,
Yes,Go over onboarding for Gal,"May 8, 2023",,,,
Yes,Email coop,"May 8, 2023",,,,
Yes,Print out resumes,"May 8, 2023",,,,
Yes,"Expense page ","May 9, 2023",,,,
Yes,Do onboarding tasks for Gal,"May 9, 2023",,,,
Yes,Test 123,"May 11, 2023",,,,
Yes,Te,"May 11, 2023",,,,
Yes,Test,"May 11, 2023",,,,
Yes,TEST,"May 11, 2023",,,,
Yes,"Sort out personal financials ","May 11, 2023",,,,
Yes,TEST 123,"May 11, 2023",,,,
Yes,de,"May 17, 2023",,,,
Yes,Search for Evan’s Payment,"May 17, 2023",,,,
Yes,Send out 2 week reminder + payment info to whole chapter,"May 17, 2023",,,,
Yes,Sign up for E@UBC,"May 19, 2023",,,,
Yes,Deposit cheques,"May 19, 2023",,,,
Yes,Finish website,"May 19, 2023",,,,
Yes,"Send stand up update ","May 19, 2023",,,,
Yes,"Pay for school ","May 21, 2023",,,,
Yes,Talk to drew about legal / marketing guy,"May 21, 2023",,,,
Yes,ADP: Begin Creating Projections for Next Yeaer,"May 21, 2023",,,,
Yes,Email coop,"May 22, 2023",,,,
Yes,BCeID,"May 22, 2023",,,,
Yes,Sort out Gal paycheques,"May 23, 2023",,,,
Yes,"Send out history of budgets and see what people want ","May 23, 2023",,,,
Yes,Send out 1 week reminder + alert people for early bird prices,"May 24, 2023",,,,
Yes,Change phone number,"May 29, 2023",,,,
Yes,Continue Apply to adp scholarship http://alphadelt.ca/scholarship?fbclid=IwAR1iDNtETzAqsoU-0SjGQ4hmAtX65a4uiqfffkiSDmTQ4qE03FT8trLgRdE,"June 5, 2023",,,,
Yes,"Machine hack competition check ","June 5, 2023",,,,
Yes," Bring up new post that gets archived again","June 13, 2023","June 6, 2023",,,
Yes,Check when speaker rental expire,"June 13, 2023",,,,
Yes,Buy Osheaga Tickets,"June 13, 2023",,,,
Yes,"Create cheatsheet for how to win friends and influence people ","June 13, 2023",,,,
Yes,Send email to science advising about what to do for course registration,"June 13, 2023",,,,
Yes,"Create  worklist for courses in the Fall ","June 13, 2023",,,,
Yes,Pay school fees & see what’s up with course registration,"June 13, 2023",,,,
Yes,Write out more formal offer to security & send  out over text,"June 13, 2023",,,,
Yes,Decide if we want to run one on Friday,"June 13, 2023",,,,
Yes,"Retie running shoes ","June 13, 2023",,,,
Yes,Wash sheets,"June 13, 2023",,,,
Yes,Send Vik his $ back for ACF,"June 13, 2023",,,,
Yes,Look into YCombinator: Safe,"June 13, 2023",,,,
Yes,Find transit minister of Vancouver,"June 13, 2023",,,,
Yes,Write out instructions for being a corp → filings etc,"June 13, 2023",,,,
Yes,"Find other busaries / grants for students ","June 13, 2023",,,,
Yes,Conctact Dev about speakers for doublin affair pre,"June 15, 2023",,,,
Yes,Send out job offer to any security people for next saturday,"June 15, 2023",,,,
Yes,Search through ADP instagram for rugby dudes,"June 15, 2023",,,,
Yes,research and apply for transit licences,"June 15, 2023",,,,
Yes,Send out message,"June 15, 2023",,,,
Yes,"Send eshan my serving it right ","June 16, 2023",,,,
Yes,Begin promoting next saturday,"June 16, 2023",,,,
Yes,"cancel the burner subscription ","June 16, 2023",,,,
Yes,"Book Granville appointment ","June 21, 2023",,,,
Yes,"Bring David a UBC athletics shirt ","June 22, 2023",,,,
Yes,Redo goals section of Notion,"June 26, 2023",,,,
Yes,Cut hair,"June 26, 2023",,,,
Yes,Figure out $ situation in spreadsheet for the summer,"June 27, 2023",,,,
Yes,"Draft up that email to the Triumf guy ","June 28, 2023",,,,
Yes,Send messages to officers reminding about budgets,"June 28, 2023",,,,
Yes,Call NRC / IRAP,"June 30, 2023",,,,
Yes,Reply to Triumf email,"July 2, 2023",,,,
Yes,Move sprint planning sheet onto the google drive,"July 2, 2023",,,,
Yes,"Build out personal growth notion for CZ exec ","July 2, 2023",,,,
Yes,Send out all Unum messages for Friday,"July 2, 2023",,,,
Yes,Meet with James,"July 4, 2023",,,,
Yes,Email to Eshan,"July 4, 2023",,,,
Yes,Figure out how to make interactive powerpoint for CZ,"July 5, 2023",,,,
Yes,Call focal dental,"July 5, 2023",,,,
Yes,Send thank you for meeting with James,"July 5, 2023",,,,
Yes,"Check dayforce pay stubs online to confirm the $90 and $120 in tips I shoulda made ","July 5, 2023",,,,
Yes,Readjust cost projections so that we stay even over our lifespan w/ Toronto PTC fees,"July 5, 2023",,,,
Yes,"Pay interantional dues for ADP ","July 5, 2023",,,,
Yes,"Cancel Burner, squarespace and Nord accounts ","July 5, 2023",,,,
Yes,Research other busaries & scholarships that we could get,"July 5, 2023",,,,
Yes,"Add in finances to powerpoint → both in depth and detailed ","July 6, 2023",,,,
Yes,Begin TNS Licence application,"July 6, 2023",,,,
Yes,GST application,"July 6, 2023",,,,
Yes,PST application,"July 6, 2023",,,,
Yes,Finalize Contracts,"July 6, 2023",,,,
Yes,Create the new surveys,"July 7, 2023",,,,
Yes,Confirm Surveys with team,"July 8, 2023",,,,
Yes,"Send Toma that thing ","July 9, 2023",,,,
Yes,Make FB event page,"July 9, 2023",,,,
Yes,"Make promo material and send to the group for review ","July 9, 2023",,,,
Yes,Reach out to Kevin regarding our insurance payment,"July 9, 2023",,,,
Yes,Begin sending out surveys,"July 9, 2023",,,,
Yes,Finish Brady’s contract,"July 10, 2023",,,,
Yes,Thank Jordan for weed,"July 10, 2023",,,,
Yes,Go through all notes & record tasks for everyone,"July 10, 2023",,,,
Yes,Create tasks & scope out the timeline for the TNS licence application,"July 10, 2023",,,,
Yes,"Begin applying to grants: 2.4K ","July 10, 2023",,,,
Yes,Update budget for fall 2023,"July 11, 2023",,,,
Yes,Redo Brady’s Contract,"July 11, 2023",,,,
Yes,Text Ehsan about my availability next week & my trip back to Ottawa,"July 11, 2023",,,,
Yes,Thank Emma for covering for me on Friday,"July 11, 2023",,,,
Yes,"Plan for the exec meeting - what do we want to talk about, review that platform Toma suggested, find ideas for active point reward","July 11, 2023",,,,
Yes,Make plan for applying to interships & programs for next summer,"July 11, 2023",,,,
Yes,"Send out message for dues ","July 12, 2023",,,,
Yes,Write out assumptions and sources on data for the FA,"July 12, 2023",,,,
Yes,Plan out the active chapter point reward,"July 12, 2023",,,,
Yes,Scope out plan for redesign of CZ notion,"July 12, 2023",,,,
Yes,Create first projection for next year,"July 12, 2023",,,,
Yes,"Set up both squares ","July 13, 2023",,,,
Yes,Make post to go up on UBC Raves insta,"July 13, 2023",,,,
Yes,Email to parents,"July 14, 2023",,,,
Yes,Create summary on Habit Podcast,"July 16, 2023",,,,
Yes,Text Hudson’s friend about designer position and meet w / him,"July 16, 2023",,,,
Yes,Text all security people about payment method,"July 17, 2023",,,,
Yes,Review the party & plan next steps,"July 17, 2023",,,,
Yes,Survey question review,"July 17, 2023",,,,
Yes,"Confirm next party dates: Unum, UBC Raves, Irish","July 18, 2023",,,,
Yes,Figure out what I need to get to paint over walls,"July 18, 2023",,,,
Yes,NIBC apply to the thing,"July 18, 2023",,,,
Yes,Get an insta page up,"July 19, 2023",,,,
Yes,Plan when to see kaitlyn,"July 23, 2023",,,,
Yes,Posters and story designs for promo,"July 23, 2023",,,,
Yes,Email guy back with CRA number,"July 23, 2023",,,,
Yes,Sort out sound cables,"July 25, 2023",,,,
Yes,Promo to Irish,"July 25, 2023",,,,
Yes,"Check in with BVP, UBC Bike Club, and S&B about partnerships","July 25, 2023",,,,
Yes,"Budget projections ","July 25, 2023",,,,
Yes,Plan to return speakers if that’s still the Move,"July 25, 2023",,,,
Yes,Posters for ticket sales,"July 26, 2023",,,,
Yes,Plans for Ontario,"July 26, 2023",,,,
Yes,Sound set-up,"July 26, 2023",,,,
Yes,Incubator research,"July 26, 2023",,,,
Yes,"CZ: Competitor Research questions ","July 26, 2023",,,,
