_,Name,Start Date,Due Date,Assignee,Project,Subs
Yes,CRM Plan w/ Ahnaf,"July 27, 2023",,,,
Yes,Paint walls,"July 31, 2023",,,,
Yes,Create next version of surveys,"August 2, 2023",,,,
Yes,Notion redesign,"August 2, 2023",,,,
Yes,Meal plan & prep for Osh,"August 3, 2023",,,,
Yes,Reply to ITA email,"August 4, 2023",,,,
Yes,Get tickets for Arya show,"August 11, 2023",,,,
Yes,Text Derick & boro appi,"August 11, 2023",,,,
Yes,"Finish surveys - 2 new questions + edits ","August 11, 2023",,,,
No,Text the Portside man,"August 11, 2023",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
Yes,Text Hudson’s friend back,"August 11, 2023",,,,
Yes,Active point reward,"August 11, 2023",,,,
Yes,"Read Tim Ferris post on suicide ","August 11, 2023",,,,
Yes,"Sort out money owed ","August 13, 2023",,,,
Yes,Calculate money for summer + upcoming school term,"August 18, 2023",,,,
Yes,Pay for shipping on active rewards,"August 18, 2023",,,,
Yes,UBC Bursaries: https://students.ubc.ca/enrolment/finances/awards-scholarships-bursaries/ubc-bursary-program,"August 18, 2023",,,,
Yes,Figure out how much money Mum owes me from this vacation,"August 20, 2023",,,,
Yes,Send out surveys,"August 20, 2023",,,,
Yes,Contract for tech lead,"August 21, 2023",,,,
Yes,Research into all incubator programs: find out what they do & when they intake / have events,"August 21, 2023",,,,
Yes,Contracts for Designer,"August 21, 2023",,,,
Yes,Conduct market research on competitors,"August 21, 2023",,,,
Yes,"book urologiest ","August 23, 2023",,,,
Yes,Send dad the recipts for each perscription,"August 23, 2023",,,,
Yes,text dad’s dates for visit,"August 24, 2023",,,,
Yes,do the patient onboarding for pediodontics office,"August 28, 2023",,,,
No,1 School,"August 31, 2023","April 14, 2025",Alex,,"Check in with all courses (../To%20Do%20List/Check%20in%20with%20all%20courses%20171bfb40da6f4caf8885674640f7e694.md), Tuition Refunds: https://students.ubc.ca/enrolment/finances/tuition-fees/tuition-refunds (../To%20Do%20List/Tuition%20Refunds%20https%20students%20ubc%20ca%20enrolment%20fi%20ee22a01b2041484d9a6e3600ba69a6b9.md), Schedule talk with enrollment services (../To%20Do%20List/Schedule%20talk%20with%20enrollment%20services%204e78975e2cdc498687f8aba98946a683.md), ATSC 313 - Orientation Due (../To%20Do%20List/ATSC%20313%20-%20Orientation%20Due%206f83ae5fa43b4b76881635b1be507a8c.md), ATSC 313 - ePortfolio Due (../To%20Do%20List/ATSC%20313%20-%20ePortfolio%20Due%2023a0b998e97b47a3abc132f6a9906255.md), ATSC 313 - Hydro A (../To%20Do%20List/ATSC%20313%20-%20Hydro%20A%20b112b69b6fcd4ce7b600b9353843d6f2.md), ATSC 313 - Hydro B (../To%20Do%20List/ATSC%20313%20-%20Hydro%20B%2080708977236643ec8a73c5ec9ae3106e.md), ATSC 313 - Hydro C (../To%20Do%20List/ATSC%20313%20-%20Hydro%20C%20f4c8e025c8a242d7ab193c050d343ba8.md), ATSC 313 - Hydro D (../To%20Do%20List/ATSC%20313%20-%20Hydro%20D%204bb1b0a3e10b4e1c859541e3e3407db4.md), ATSC 313 - Hydro Midterm (../To%20Do%20List/ATSC%20313%20-%20Hydro%20Midterm%204d0435b04d7d4bd399d0f0bcff0ec6d9.md), ATSC 313 - ePortfolio Hydro (../To%20Do%20List/ATSC%20313%20-%20ePortfolio%20Hydro%20df2790ee8e3e4e35a8d509aa503ef79d.md), ATSC 313 - Wind A (../To%20Do%20List/ATSC%20313%20-%20Wind%20A%200a9d26d83408489bae7f167deaacb314.md), ATSC 313 - Wind B (../To%20Do%20List/ATSC%20313%20-%20Wind%20B%202b73f9922b43478bbde5f98edb1d7a0b.md), ATSC 313 - Wind C (../To%20Do%20List/ATSC%20313%20-%20Wind%20C%20c09f20191b66417594f013427dc9e476.md), ATSC 313 - Wind D (../To%20Do%20List/ATSC%20313%20-%20Wind%20D%20239295d3f85c4d9d94ea3729097df4b3.md), ATSC 313 - Wind Midterm (../To%20Do%20List/ATSC%20313%20-%20Wind%20Midterm%208fa5c09fcd214db1bcb2e7b7f9c096f2.md), ATSC 313 - ePortfolio Wind (../To%20Do%20List/ATSC%20313%20-%20ePortfolio%20Wind%20bede04c1efc742018fac2a77d5bbeb87.md), ATSC 313 - Solar A (../To%20Do%20List/ATSC%20313%20-%20Solar%20A%2068de9273d0034079a7e9ed5e0c3b9146.md), ATSC 313 - Solar B (../To%20Do%20List/ATSC%20313%20-%20Solar%20B%205da0f511246d44fbb5ba92bbc50ca2a7.md), ATSC 313 - Solar C (../To%20Do%20List/ATSC%20313%20-%20Solar%20C%20a24465c947e24c8290c48735f5fbc8fb.md), ATSC 313 - Solar D (../To%20Do%20List/ATSC%20313%20-%20Solar%20D%207e5e050eeb5543c186067e5a95ae1f18.md), ATSC 313 - Solar Midterm (../To%20Do%20List/ATSC%20313%20-%20Solar%20Midterm%20cb675779d75f4e34b88369e8b9827843.md), ATSC 313 - ePortfolio Solar (../To%20Do%20List/ATSC%20313%20-%20ePortfolio%20Solar%2047d22f8521824d599813006eb77d38bc.md), ATSC 313 - Synthesis A (../To%20Do%20List/ATSC%20313%20-%20Synthesis%20A%204fc6ea06749e41bea6bfb4aa32acca66.md), ATSC 313 - Synthesis B (../To%20Do%20List/ATSC%20313%20-%20Synthesis%20B%20f04eebf28de64cf8bdc74b29a32e6c0b.md), ATSC 313 - Synthesis D (../To%20Do%20List/ATSC%20313%20-%20Synthesis%20D%20563ccc054eea4abb8bb7cb3d992bb183.md), ATSC 313 - ePortfolio Final Draft Due (../To%20Do%20List/ATSC%20313%20-%20ePortfolio%20Final%20Draft%20Due%207de165b8517a44f9a4f549028b1d2812.md), COMR 493 - CASE 1 (../To%20Do%20List/COMR%20493%20-%20CASE%201%20a24b9e7ef8554693a678b2f69f393d5c.md), COMR 493 - Case 2 (../To%20Do%20List/COMR%20493%20-%20Case%202%201a304697fa57468691b0fc97d2a4cb76.md), COMR 493 - Group Analysis (../To%20Do%20List/COMR%20493%20-%20Group%20Analysis%20924a4520a7b24be597e251c0cd76145e.md), COMR 493 - Participation self evaluation  (../To%20Do%20List/COMR%20493%20-%20Participation%20self%20evaluation%2059f141258fd4400a8999df0730a264bf.md), COMR 493 - About yourself (../To%20Do%20List/COMR%20493%20-%20About%20yourself%202aafc54ab8e9428b892caf742d9a4fc3.md), STAT 406 - Homework 1 (../To%20Do%20List/STAT%20406%20-%20Homework%201%200ec0e5059ff04c748ee2e57653829f0a.md), STAT 406 - HW 2 (../To%20Do%20List/STAT%20406%20-%20HW%202%20aca53adf8eb447359469a5a51f7326b2.md), STAT 406 - HW 3 (../To%20Do%20List/STAT%20406%20-%20HW%203%20dddb52f513f741448cfee489a0fb260f.md), STAT 406 - HW 4 (../To%20Do%20List/STAT%20406%20-%20HW%204%20d822452e79d14bada92f128045d8c67b.md), STAT 406 - HW 5 (../To%20Do%20List/STAT%20406%20-%20HW%205%2050faf87b08244c15a593f98c5bd77008.md), STAT 406 - Quiz 0 (../To%20Do%20List/STAT%20406%20-%20Quiz%200%20b6b91b28f4cf4ca6ab827d959df49e82.md), Run Through Center for Accessability (../To%20Do%20List/Run%20Through%20Center%20for%20Accessability%205d07f510ce78437fbd46905c0ad1df5b.md), STAT 404 Quiz 0 (../To%20Do%20List/STAT%20404%20Quiz%200%20afcab8dd867844e6a222eceefa7d75ed.md), STAT 406 - LAB 0 (../To%20Do%20List/STAT%20406%20-%20LAB%200%20e5e7055a3b1d4912b3d991e03aa92440.md), STAT 406 - LAB 1 (../To%20Do%20List/STAT%20406%20-%20LAB%201%201b6b4080548f4765b6a276587da091f8.md), Sort out STAT 406 Github & Knit issues (../To%20Do%20List/Sort%20out%20STAT%20406%20Github%20&%20Knit%20issues%20b1ffa9382b354cdb8851acbb68bca8e9.md), Send Accomodation letters (../To%20Do%20List/Send%20Accomodation%20letters%2077a6cbf3333b43d097b0115b8ea85ef4.md), STAT 404 Webwork 1 (../To%20Do%20List/STAT%20404%20Webwork%201%20fac447b461db4c58bc4e6ef8bb99580b.md), 404 HW 2 Review (../To%20Do%20List/404%20HW%202%20Review%2010e7c51f810e807e9f67c2cd849b4931.md), 404 Quiz #1 (../To%20Do%20List/404%20Quiz%20#1%2010e7c51f810e80aea244c727fb3bbb46.md), 404 Webwork 3 (../To%20Do%20List/404%20Webwork%203%2010e7c51f810e80f180eed7aec182c662.md), 404 Webwork 4 (../To%20Do%20List/404%20Webwork%204%2010e7c51f810e802dbbb3d246647f356b.md), 404 Quiz 2 (../To%20Do%20List/404%20Quiz%202%2010e7c51f810e8011a1e7f94b25e2c444.md), 404 Webwork 5 (../To%20Do%20List/404%20Webwork%205%2010e7c51f810e80f1b0adcda06433ac0b.md), 404 Quiz 3 (../To%20Do%20List/404%20Quiz%203%2010e7c51f810e80c2a98ccda51cb11d54.md), 404 Webwork 6 (../To%20Do%20List/404%20Webwork%206%2010e7c51f810e80d4b479cb0adb7336d0.md), ECON 319 First test (../To%20Do%20List/ECON%20319%20First%20test%201767c51f810e80c09e30dab42e798800.md), ECON 319 Second Test (../To%20Do%20List/ECON%20319%20Second%20Test%201767c51f810e8048a98ac954a3807b1b.md), ECON 319 Research Essay Outline (../To%20Do%20List/ECON%20319%20Research%20Essay%20Outline%201767c51f810e80b1afecc07eeb9a1c83.md), ECON 319 Essay (../To%20Do%20List/ECON%20319%20Essay%201767c51f810e80a28526dedaff8a74c5.md), COMR 458 HW Ch 1 & 2 (../To%20Do%20List/COMR%20458%20HW%20Ch%201%20&%202%201767c51f810e80eaa6f3d7aef277ae1e.md), COMR 458 Quiz 1 (../To%20Do%20List/COMR%20458%20Quiz%201%201767c51f810e8070b05bcfe39ddfa32d.md), COMR 458 HW Ch 3 (../To%20Do%20List/COMR%20458%20HW%20Ch%203%201767c51f810e80038a8de6a8c16a3488.md), COMR 458 Quiz 2 (../To%20Do%20List/COMR%20458%20Quiz%202%201767c51f810e80f9bc36ec3e65d40dc5.md), COMR 458 HW ch 4 (../To%20Do%20List/COMR%20458%20HW%20ch%204%201767c51f810e8086aa72d3df23702fe7.md), COMR 458 Hw ch 5 (../To%20Do%20List/COMR%20458%20Hw%20ch%205%201767c51f810e8005999bf22d14b13f70.md), COMR 458 Hw ch 6 (../To%20Do%20List/COMR%20458%20Hw%20ch%206%201767c51f810e805a954be9d52a3c8b8b.md), COMR 458 Quiz 3 (../To%20Do%20List/COMR%20458%20Quiz%203%201767c51f810e80b08ae2f0b85f3dbeca.md), COMR 458 HW ch 7 (../To%20Do%20List/COMR%20458%20HW%20ch%207%201767c51f810e806a9ec1c3b2d1229ed5.md), COMR 458 HW ch 10 (../To%20Do%20List/COMR%20458%20HW%20ch%2010%201767c51f810e80488e62e89c3afcfbc7.md), COMR 458 Hw ch 11 (../To%20Do%20List/COMR%20458%20Hw%20ch%2011%201767c51f810e8041ae64fd95e7f5a406.md), COMR 458 Quiz 4 (../To%20Do%20List/COMR%20458%20Quiz%204%201767c51f810e80cc85b6fddf699543ff.md), STAT 443 Written 1 (../To%20Do%20List/STAT%20443%20Written%201%201767c51f810e801db6baf588c3f9e8f5.md), STAT 443 Written 2 (../To%20Do%20List/STAT%20443%20Written%202%201767c51f810e80f9a9c9c7f4287ca4d9.md), STAT 443 Written 3 (../To%20Do%20List/STAT%20443%20Written%203%201767c51f810e80f9ad5ef03c00fdc007.md), STAT 443 Written 4 (../To%20Do%20List/STAT%20443%20Written%204%201767c51f810e808d89aefdd76a53168c.md), STAT 443 Webwork 1 (../To%20Do%20List/STAT%20443%20Webwork%201%201767c51f810e80e0a2cddb0388342bd1.md), STAT 443 Webwork 2 (../To%20Do%20List/STAT%20443%20Webwork%202%201767c51f810e80fe91aacd4216f99565.md), STAT 443 Webwork 3 (../To%20Do%20List/STAT%20443%20Webwork%203%201767c51f810e801598cac8cb88016df4.md), STAT 443 Webwork 5 (../To%20Do%20List/STAT%20443%20Webwork%205%201767c51f810e8056af1dd5445841212a.md), STAT 443 Webwork 4 (../To%20Do%20List/STAT%20443%20Webwork%204%201767c51f810e80c2a745fd936782294a.md), STAT 443 Webwork 6 (../To%20Do%20List/STAT%20443%20Webwork%206%201767c51f810e80f39d82c9ac66975f03.md), STAT 450 Research Ethics Cert (../To%20Do%20List/STAT%20450%20Research%20Ethics%20Cert%201787c51f810e809290c6c8af070d97a7.md), STAT 450 HW 1 (../To%20Do%20List/STAT%20450%20HW%201%201787c51f810e80e79fb4d8276cb87ec3.md), STAT 450 Group Contract (../To%20Do%20List/STAT%20450%20Group%20Contract%201787c51f810e804690c6f3f133f212e4.md), STAT 450 Client Meeting 1 Prep (../To%20Do%20List/STAT%20450%20Client%20Meeting%201%20Prep%201787c51f810e80cda277e3b970d3bf10.md), STAT 450 HW2 (../To%20Do%20List/STAT%20450%20HW2%201787c51f810e80d2b4c4c346c6c8e244.md), STAT 450 Clientmeeting 1 notes (../To%20Do%20List/STAT%20450%20Clientmeeting%201%20notes%201787c51f810e8044ab4dcdfd95a01160.md), STAT 450 Group Proposal (../To%20Do%20List/STAT%20450%20Group%20Proposal%201787c51f810e803f8348d12aad062cee.md), STAT 450 In class pres file due (../To%20Do%20List/STAT%20450%20In%20class%20pres%20file%20due%201787c51f810e80d0a8e5f55f8a20d4f4.md), STAT 450 HW3 (../To%20Do%20List/STAT%20450%20HW3%201787c51f810e80ea868fd0fa860b0a05.md), STAT 450 Mid Group Review (../To%20Do%20List/STAT%20450%20Mid%20Group%20Review%201787c51f810e80acbd60cc44a8aa576e.md), STAT 450 1st Draft (../To%20Do%20List/STAT%20450%201st%20Draft%201787c51f810e8070bee9caf3cf77e689.md), STAT 450 Report Peer Review (../To%20Do%20List/STAT%20450%20Report%20Peer%20Review%201787c51f810e805a8d9bdb2c86d034cf.md), STAT 450 Client Meeting 2 prep (../To%20Do%20List/STAT%20450%20Client%20Meeting%202%20prep%201787c51f810e801394a1c2a7b31fc75b.md), STAT 450 Client Meeting 2 notes (../To%20Do%20List/STAT%20450%20Client%20Meeting%202%20notes%201787c51f810e807a88dad38138bfc3cb.md), STAT 450 Oral pres submit (../To%20Do%20List/STAT%20450%20Oral%20pres%20submit%201787c51f810e802ca5d0ce548c19cf90.md), STAT 450 Project summary for poster session (../To%20Do%20List/STAT%20450%20Project%20summary%20for%20poster%20session%201787c51f810e80da8c8ff3d624662c02.md), STAT 450 Oral pres peer review (../To%20Do%20List/STAT%20450%20Oral%20pres%20peer%20review%201787c51f810e80bdb4d2c9a7aa481ee1.md), STAT 450 2nd draft report (../To%20Do%20List/STAT%20450%202nd%20draft%20report%201787c51f810e80d3bd9bfbd3a9e414ae.md), STAT 450 Mock poster session submission (../To%20Do%20List/STAT%20450%20Mock%20poster%20session%20submission%201787c51f810e8084828afd93499b9ebe.md), STAT 450 Final Poster (../To%20Do%20List/STAT%20450%20Final%20Poster%201787c51f810e8074933fec23581cfbc2.md), STAT 450 Final Report (../To%20Do%20List/STAT%20450%20Final%20Report%201787c51f810e80f8925ef6e3a7108ac3.md), STAT 450 Final Peer Assessment  (../To%20Do%20List/STAT%20450%20Final%20Peer%20Assessment%201787c51f810e80429bb9cfa91f9e4099.md), STAT 443 Lab (Every Week)  (../To%20Do%20List/STAT%20443%20Lab%20(Every%20Week)%201787c51f810e80e28f51ee32f74f462f.md), STAT 450 Lab (Every Week)  (../To%20Do%20List/STAT%20450%20Lab%20(Every%20Week)%201787c51f810e80339a03ea12405c5a57.md), STAT 443 Activity 1 (../To%20Do%20List/STAT%20443%20Activity%201%2017a7c51f810e805fa5aef4ca843a3260.md), STAT443 Activity 2 (../To%20Do%20List/STAT443%20Activity%202%2017a7c51f810e8074893fc43f7b8d293b.md), STAT 443 Activity 3 & 4 (../To%20Do%20List/STAT%20443%20Activity%203%20&%204%2017d7c51f810e80d2a22cdc385d2880a2.md), STAT 450 Short Presnetation (../To%20Do%20List/STAT%20450%20Short%20Presnetation%201937c51f810e80d99731ce7a9157e60b.md)"
Yes,Fitness plan for year,"August 31, 2023",,,,
Yes,BEDBUGS,"August 31, 2023",,,,
No,2 Unum,"August 31, 2023",,,,"buy mic (../To%20Do%20List/buy%20mic%208ea735c6471c4832a48145ba3ce40275.md), Talk to the pit about running an after hours (../To%20Do%20List/Talk%20to%20the%20pit%20about%20running%20an%20after%20hours%207aa22803721b445a98b1ce6cd501af3c.md), Finances - Update the doc that Lu made to cover what I need it to (../To%20Do%20List/Finances%20-%20Update%20the%20doc%20that%20Lu%20made%20to%20cover%20wh%206856d1530d254962b288e7ccfba3242a.md), Stock contracts & shareholder agreement (../To%20Do%20List/Stock%20contracts%20&%20shareholder%20agreement%20b0b4df908a7a4a00883ebd0b4ef9bb86.md), Talk with Hansen - get him on the website (../To%20Do%20List/Talk%20with%20Hansen%20-%20get%20him%20on%20the%20website%20c72af6e83daa4958a579fa1df4d88368.md), Email cooking club (../To%20Do%20List/Email%20cooking%20club%20abceeb977bfb43798acc40c3b30e32ae.md), Get graphics for Oct 4th (../To%20Do%20List/Get%20graphics%20for%20Oct%204th%20d71078d524764f388febbe411c300354.md), Get everyone to post on the website (../To%20Do%20List/Get%20everyone%20to%20post%20on%20the%20website%20150e450f8dcf4a4888c45434cadb52ca.md), Move all monthly subscriptions to business  (../To%20Do%20List/Move%20all%20monthly%20subscriptions%20to%20business%203d2ffbf298c3414ab404eebacb7fbe4f.md), Get familiar with website - get everyone to make their own post (../To%20Do%20List/Get%20familiar%20with%20website%20-%20get%20everyone%20to%20make%20t%2018442280715b45dc8d34e077c11f716e.md), Create full plan for Oct 4h (../To%20Do%20List/Create%20full%20plan%20for%20Oct%204h%20ac29fdd75074479d9a6bb83b40a1a49a.md), Art studio contract draft 1 (../To%20Do%20List/Art%20studio%20contract%20draft%201%2010e7c51f810e80f9bd38e7e3e1dc1aba.md), Art studio contract revision & send to Quinn (../To%20Do%20List/Art%20studio%20contract%20revision%20&%20send%20to%20Quinn%2011c7c51f810e80409e2dc6442990d466.md)"
No,Alpha Delta Phi,"August 31, 2023",,,,"Set up room - buy shelf and mirror attachments  (../To%20Do%20List/Set%20up%20room%20-%20buy%20shelf%20and%20mirror%20attachments%20948476e5724c4830b29f5589c80d3c1c.md), Laundry (../To%20Do%20List/Laundry%20a96738638a6b4713bb3613e1c3d19861.md)"
Yes,CHUZU,"August 31, 2023",,,,
Yes,Alex’s Notes,"September 3, 2023",,,,
Yes,"Unarchive Josh's grad ozt ","September 4, 2023","September 4, 2023",,,
Yes,Scenarios for Finance,"September 4, 2023",,,,
Yes,Email Riley again for TRIUMF,"September 4, 2023",,,,
Yes,STAT 406,"September 7, 2023",,,,
Yes,STAT 305,"September 7, 2023",,,,
Yes,305: HW1,"September 12, 2023",,,,
Yes,406: lecture & rstudio set up,"September 12, 2023",,,,
Yes,"406 read 2.1, 2.2, and Chapter 3 (this material is review)","September 13, 2023",,,,
Yes,406 Lab 0,"September 13, 2023",,,,
Yes,301 worksheet 2,"September 16, 2023",,,,
Yes,301 tutorial 2,"September 16, 2023",,,,
Yes,301 WS0,"September 16, 2023",,,,
Yes,465 text book + activities for this week,"September 18, 2023",,,,
No,"text rob, arrange zoom meeting","September 18, 2023",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
Yes,406 lab 1,"September 18, 2023",,,,
Yes,301 ws 3,"September 18, 2023",,,,
Yes,305 book,"September 18, 2023",,,,
Yes,ask about rave club,"September 18, 2023",,,,
Yes,DJ Club,"September 18, 2023",,,,
Yes,301 lectures + previous text,"September 18, 2023",,,,
Yes,465 text book,"September 18, 2023",,,,
Yes,465 notes,"September 18, 2023",,,,
Yes,465 Lecture,"September 18, 2023",,,,
Yes,Call cops & ubc security,"September 18, 2023",,,,
Yes,Details for pop-up,"September 18, 2023",,,,
Yes,email charity,"September 18, 2023",,,,
No,buy mic,"September 24, 2023",,,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,406 HW1,"September 25, 2023",,,,
Yes,Make payment to VFB,"September 26, 2023",,,,
Yes,Keaton,"October 2, 2023",,,,
Yes,get link tree up,"October 2, 2023",,,,
Yes,Schedule designer meeting,"October 2, 2023",,,,
Yes,Talk to Hudson about doing a website,"October 2, 2023",,,,
No,Talk to the pit about running an after hours,"October 2, 2023",,,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,AMS Raves meeting,"October 2, 2023",,,,
Yes,305 Webwork 3,"October 2, 2023",,,,
Yes,"Contact Keven about alumni donation ","October 2, 2023",,,,
Yes,465 HW due the 12th,"October 6, 2023",,,,
Yes,"Find spring break dates ","October 7, 2023",,,,
Yes,301 WS & Tutorial 6,"October 13, 2023",,,,
Yes,"406 notes 6.4 + 6.2, 7.1-7.7.1, 8.1, 8.1.1, 8.1.3, 8.1.4","October 13, 2023",,,,
Yes,rego over business plan,"October 13, 2023",,,,
Yes,leagal framework,"October 13, 2023",,,,
Yes,review business,"October 13, 2023",,,,
Yes,pay per event,"October 13, 2023",,,,
Yes,goals for year,"October 13, 2023",,,,
Yes,305 chapter 1.8.1 - 4.6,"October 13, 2023",,,,
Yes,406 HW 3,"October 17, 2023",,,,
Yes,406 HW 4,"November 2, 2023","November 7, 2023",,,
Yes,305 Webwork 6,"November 6, 2023","November 10, 2023",,,
Yes,406 HW 5,"November 21, 2023",,,,
Yes,"Look into Excel comp: https://www.fmworldcup.com/microsoft-excel-collegiate-challenge/ ","December 10, 2023",,,,
Yes,Budget + explnse tracking,"January 1, 2024",,,,
Yes,Look into new ventures,"January 2, 2024",,,,
Yes,MATH100,"June 3, 2024","June 8, 2024",,,
Yes,Laundry,"August 27, 2024","August 28, 2024",,Alpha Delta Phi (../To%20Do%20List/Alpha%20Delta%20Phi%2073658075425a460d8dcd8def93f1dd74.md),
Yes,Prep financial statements for the year - Text mum amounts,"August 27, 2024","August 31, 2024",,Personal Admin (../To%20Do%20List/Personal%20Admin%2049151e88a77242bc9b0721604ed238ff.md),
Yes,Keaton Lasers,"August 27, 2024","August 31, 2024",,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
Yes,"Set up room - buy shelf and mirror attachments ","August 27, 2024","September 1, 2024",,Alpha Delta Phi (../To%20Do%20List/Alpha%20Delta%20Phi%2073658075425a460d8dcd8def93f1dd74.md),
Yes,Get graphics for Oct 4th,"August 27, 2024","September 2, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,Check in with all courses,"August 27, 2024","September 3, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,Talk with Hansen - get him on the website,"August 27, 2024","September 5, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,Test Karaoke setup,"August 27, 2024","September 6, 2024",,Work (../To%20Do%20List/Work%206d754fd159424c58acef96d0ee7a8084.md),
Yes,Finances - Update the doc that Lu made to cover what I need it to,"August 27, 2024","September 7, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,Stock contracts & shareholder agreement,"August 27, 2024","October 12, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
No,"Move all monthly subscriptions to business ","August 27, 2024",,,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
No,Work,"August 27, 2024",,,,Test Karaoke setup (../To%20Do%20List/Test%20Karaoke%20setup%209d2f6c44961143349f1a0013be8e8206.md)
Yes,Get everyone to post on the website,"August 27, 2024",,,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
No,Personal Admin,"August 27, 2024",,,,"Prep financial statements for the year - Text mum amounts (../To%20Do%20List/Prep%20financial%20statements%20for%20the%20year%20-%20Text%20mum%20%201adf66b34b414212a864b2c98eb30599.md), Send dad the enrolment proof (../To%20Do%20List/Send%20dad%20the%20enrolment%20proof%2010e7c51f810e8006a1dfe1ae3c994bef.md)"
Yes,Email cooking club,"August 27, 2024",,,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
No,"Kevin Thatch ","August 27, 2024",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
No,Kean,"August 27, 2024",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
No,Jeremy Spoons,"August 27, 2024",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
No,Mark Psychiatrist,"August 27, 2024",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
No,Soren Thomas Workshop,"August 27, 2024",,,Interviews (../To%20Do%20List/Interviews%2039208078d35549dcbf57093530474702.md),
No,Interviews,"August 27, 2024",,,,"Text the Portside man (../To%20Do%20List/Text%20the%20Portside%20man%200b697b431cf04a04b3f213d029247b4f.md), text rob, arrange zoom meeting (../To%20Do%20List/text%20rob,%20arrange%20zoom%20meeting%20465ef04c90d249fcb06f63deb155cb61.md), Soren Thomas Workshop (../To%20Do%20List/Soren%20Thomas%20Workshop%20bc62b327c877477081136530b503e17d.md), Mark Psychiatrist (../To%20Do%20List/Mark%20Psychiatrist%2027b39dd48c524ac98613a0c49b837c91.md), Jeremy Spoons (../To%20Do%20List/Jeremy%20Spoons%20b0d7359512d049c09642a6fb1cfc055f.md), Keaton Lasers (../To%20Do%20List/Keaton%20Lasers%207376f67299444c8888c16f8b52514e38.md), Kean (../To%20Do%20List/Kean%2023b613a8d39845da9b53cd16952bdc12.md), Kevin Thatch  (../To%20Do%20List/Kevin%20Thatch%20b2c992ab155f46cc8899e78ed39b044c.md), The US tour people (../To%20Do%20List/The%20US%20tour%20people%20a97364192f2d46da99ac50a18189d45d.md), interview Jacob (../To%20Do%20List/interview%20Jacob%2010e7c51f810e80ff9479ce5a75aecacb.md), Email Profs for all courses (../To%20Do%20List/Email%20Profs%20for%20all%20courses%2017a7c51f810e8056a8bffae20a74d315.md)"
Yes,Get Justin applying to jobs,"August 29, 2024","August 30, 2024",,,
Yes,Get familiar with website - get everyone to make their own post,"August 29, 2024","September 7, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,Tuition Refunds: https://students.ubc.ca/enrolment/finances/tuition-fees/tuition-refunds,"August 29, 2024","October 14, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
Yes,Create full plan for Oct 4h,"September 2, 2024","September 2, 2024",,2 Unum (../To%20Do%20List/2%20Unum%20c1c89d9e46394a6bae18d11c8cb4fe05.md),
Yes,Schedule talk with enrollment services,"September 2, 2024","September 13, 2024",,1 School (../To%20Do%20List/1%20School%203589c1e76e4b471b9ccf56b4158194f5.md),
